t, torque1, torque2, torque3, torque4, torque5, torque6, torque7, q1, q2, q3, q4, q5, q6, q7
14.008, 2.38339848581, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.340543734911, -0.0567572891518, -0.039883500485, -0.0214757310304, -0.0184077694546, 0.039883500485, -0.00613592315154
14.012, 2.3890201879, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.332873830971, -0.0506213660002, -0.0383495196971, -0.0245436926062, -0.0199417502425, 0.0414174812729, -0.00460194236366
14.016, 2.3945060774, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.332873830971, -0.0521553467881, -0.0414174812729, -0.0322135965456, -0.0168737886667, 0.039883500485, -0.00306796157577
14.02, 2.39985584247, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.329805869395, -0.0567572891518, -0.0383495196971, -0.0352815581214, -0.0168737886667, 0.0337475773335, -0.00613592315154
14.024, 2.40506917896, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.322135965456, -0.053689327576, -0.0414174812729, -0.0306796157577, -0.0184077694546, 0.0322135965456, 0.0
14.028, 2.41014579052, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.317534023092, -0.0506213660002, -0.0414174812729, -0.0337475773335, -0.0184077694546, 0.0352815581214, -0.00306796157577
14.032, 2.41508538853, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.316000042304, -0.0552233083639, -0.0383495196971, -0.0368155389093, -0.0214757310304, 0.0337475773335, -0.00306796157577
14.036, 2.4198876922, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.312932080729, -0.053689327576, -0.0352815581214, -0.0383495196971, -0.0168737886667, 0.0276116541819, -0.00153398078789
14.04, 2.42455242851, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.309864119153, -0.053689327576, -0.0414174812729, -0.0444854428487, -0.0153398078789, 0.0245436926062, -0.00306796157577
14.044, 2.42907933229, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.306796157577, -0.0567572891518, -0.0414174812729, -0.0475534044245, -0.0199417502425, 0.0276116541819, -0.00306796157577
14.048, 2.43346814617, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.302194215213, -0.0552233083639, -0.039883500485, -0.0460194236366, -0.0153398078789, 0.0291456349698, -0.00306796157577
14.052, 2.43771862068, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.302194215213, -0.053689327576, -0.0383495196971, -0.0521553467881, -0.0153398078789, 0.0245436926062, -0.00153398078789
14.056, 2.44183051417, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.294524311274, -0.0521553467881, -0.0352815581214, -0.0582912699397, -0.0184077694546, 0.0260776733941, -0.00153398078789
14.06, 2.44580359288, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.288388388123, -0.053689327576, -0.039883500485, -0.0582912699397, -0.0199417502425, 0.0214757310304, -0.00153398078789
14.064, 2.44963763096, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.285320426547, -0.0567572891518, -0.039883500485, -0.0582912699397, -0.0184077694546, 0.0199417502425, -0.00153398078789
14.068, 2.45333241044, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.282252464971, -0.0567572891518, -0.0368155389093, -0.0644271930912, -0.0184077694546, 0.0168737886667, -0.00153398078789
14.072, 2.45688772128, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.283786445759, -0.053689327576, -0.0368155389093, -0.0628932123033, -0.0214757310304, 0.0168737886667, -0.00306796157577
14.076, 2.46030336136, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.277650522607, -0.0567572891518, -0.039883500485, -0.0690291354549, -0.0184077694546, 0.0153398078789, -0.00460194236366
14.08, 2.46357913652, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.273048580244, -0.0582912699397, -0.039883500485, -0.0705631162427, -0.0214757310304, 0.0153398078789, -0.00613592315154
14.084, 2.46671486052, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.266912657092, -0.053689327576, -0.0352815581214, -0.0736310778185, -0.0168737886667, 0.0122718463031, -0.00306796157577
14.088, 2.46971035511, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.266912657092, -0.0552233083639, -0.0383495196971, -0.0766990393943, -0.0153398078789, 0.013805827091, -0.00613592315154
14.092, 2.47256544999, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.260776733941, -0.053689327576, -0.0352815581214, -0.0751650586064, -0.0214757310304, 0.00766990393943, -0.00153398078789
14.096, 2.47527998286, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.256174791577, -0.0521553467881, -0.039883500485, -0.0813009817579, -0.0153398078789, 0.0107378655152, -0.00460194236366
14.1, 2.4778537994, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.253106830001, -0.0521553467881, -0.0352815581214, -0.0828349625458, -0.0168737886667, 0.00766990393943, -0.00153398078789
14.104, 2.48028675329, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.24697090685, -0.0521553467881, -0.0383495196971, -0.0843689433337, -0.013805827091, 0.00766990393943, -0.00460194236366
14.108, 2.48257870622, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.243902945274, -0.0582912699397, -0.0337475773335, -0.0859029241216, -0.0153398078789, 0.0, -0.00153398078789
14.112, 2.4847295279, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.240834983698, -0.0582912699397, -0.0383495196971, -0.0905048664853, -0.0153398078789, 0.00153398078789, -0.00306796157577
14.116, 2.48673909605, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.240834983698, -0.053689327576, -0.0368155389093, -0.0905048664853, -0.0184077694546, -0.00306796157577, 0.0
14.12, 2.48860729644, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.237767022122, -0.0521553467881, -0.0352815581214, -0.0920388472731, -0.0153398078789, 0.00153398078789, -0.00460194236366
14.124, 2.49033402286, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.234699060547, -0.0567572891518, -0.0337475773335, -0.093572828061, -0.0199417502425, -0.00306796157577, 0.0
14.128, 2.49191917714, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.225495175819, -0.0552233083639, -0.0337475773335, -0.0981747704247, -0.013805827091, -0.00613592315154, -0.00153398078789
14.132, 2.49336266918, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.220893233456, -0.0567572891518, -0.0337475773335, -0.104310693576, -0.0199417502425, -0.00613592315154, -0.00153398078789
14.136, 2.49466441692, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21782527188, -0.0582912699397, -0.0383495196971, -0.102776712788, -0.0153398078789, -0.0107378655152, -0.00460194236366
14.14, 2.49582434634, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21782527188, -0.0552233083639, -0.0368155389093, -0.105844674364, -0.0199417502425, -0.00766990393943, -0.00153398078789
